,condition,type
ADL1,Sensory,ADL
ADL2,Sensory,ADL
ADL3,Sensory,ADL
ADL4,Sensory,ADL
AFD1,Sensory,AFD
AFD2,Sensory,AFD
AFD3,Sensory,AFD
AFD4,Sensory,AFD
AFD5,Sensory,AFD
AIM1,Interneuron,AIM
AIM2,Interneuron,AIM
AIM3,Interneuron,AIM
AIM4,Interneuron,AIM
AIN1,Interneuron,AIN
AIN2,Interneuron,AIN
AIN3,Interneuron,AIN
AIN4,Interneuron,AIN
AIN5,Interneuron,AIN
AIN6,Interneuron,AIN
AIY1,Interneuron,AIY
AIY2,Interneuron,AIY
AIY3,Interneuron,AIY
ASEL1,Sensory,ASEL
ASEL2,Sensory,ASEL
ASEL3,Sensory,ASEL
ASER1,Sensory,ASER
ASER2,Sensory,ASER
ASER3,Sensory,ASER
ASER4,Sensory,ASER
ASG1,Sensory,ASG
ASG2,Sensory,ASG
ASG3,Sensory,ASG
ASG4,Sensory,ASG
ASI1,Sensory,ASI
ASI2,Sensory,ASI
ASI3,Sensory,ASI
ASI4,Sensory,ASI
ASK1,Sensory,ASK
ASK2,Sensory,ASK
ASK3,Sensory,ASK
ASK4,Sensory,ASK
AVA1,Interneuron,AVA
AVA2,Interneuron,AVA
AVA3,Interneuron,AVA
AVA4,Interneuron,AVA
AVA5,Interneuron,AVA
AVA6,Interneuron,AVA
AVE1,Interneuron,AVE
AVE2,Interneuron,AVE
AVE3,Interneuron,AVE
AVG1,Interneuron,AVG
AVG2,Interneuron,AVG
AVG3,Interneuron,AVG
AVH1,Interneuron,AVH
AVH2,Interneuron,AVH
AVH3,Interneuron,AVH
AVH4,Interneuron,AVH
AVK1,Interneuron,AVK
AVK2,Interneuron,AVK
AVK3,Interneuron,AVK
AVK4,Interneuron,AVK
AVL1,Polymodal,AVL
AVL2,Polymodal,AVL
AVL3,Polymodal,AVL
AVM1,Sensory,AVM
AVM2,Sensory,AVM
AVM3,Sensory,AVM
AWA1,Sensory,AWA
AWA2,Sensory,AWA
AWA3,Sensory,AWA
AWA4,Sensory,AWA
AWB1,Sensory,AWB
AWB2,Sensory,AWB
AWB3,Sensory,AWB
AWB4,Sensory,AWB
AWB5,Sensory,AWB
AWC1,Sensory,AWC
AWC2,Sensory,AWC
AWC3,Sensory,AWC
AWC4,Sensory,AWC
BAG1,Sensory,BAG
BAG2,Sensory,BAG
BAG3,Sensory,BAG
BAG4,Sensory,BAG
CAN1,Unknown,CAN
CAN2,Unknown,CAN
CAN3,Unknown,CAN
DA1,Motor,DA
DA2,Motor,DA
DA3,Motor,DA
DA4,Motor,DA
DD1,Motor,DD
DD2,Motor,DD
DD3,Motor,DD
DD4,Motor,DD
DVC1,Interneuron,DVC
DVC2,Interneuron,DVC
DVC3,Interneuron,DVC
DVC4,Interneuron,DVC
I51,Interneuron,I5
I52,Interneuron,I5
I53,Interneuron,I5
I54,Interneuron,I5
IL11,Polymodal,IL1
IL12,Polymodal,IL1
IL13,Polymodal,IL1
IL21,Sensory,IL2
IL22,Sensory,IL2
IL23,Sensory,IL2
IL24,Sensory,IL2
LUA1,Interneuron,LUA
LUA2,Interneuron,LUA
LUA3,Interneuron,LUA
LUA4,Interneuron,LUA
NSM1,Motor,NSM
NSM2,Motor,NSM
NSM3,Motor,NSM
OLL1,Sensory,OLL
OLL2,Sensory,OLL
OLQ1,Polymodal,OLQ
OLQ2,Polymodal,OLQ
OLQ3,Polymodal,OLQ
PHA1,Sensory,PHA
PHA2,Sensory,PHA
PHA3,Sensory,PHA
PHA4,Sensory,PHA
PVC1,Interneuron,PVC
PVC2,Interneuron,PVC
PVC3,Interneuron,PVC
PVC4,Interneuron,PVC
PVC5,Interneuron,PVC
PVD1,Sensory,PVD
PVD2,Sensory,PVD
PVM1,Sensory,PVM
PVM2,Sensory,PVM
RIA1,Interneuron,RIA
RIA2,Interneuron,RIA
RIA3,Interneuron,RIA
RIA4,Interneuron,RIA
RIA5,Interneuron,RIA
RIA6,Interneuron,RIA
RIC1,Interneuron,RIC
RIC2,Interneuron,RIC
RIC3,Interneuron,RIC
RIC4,Interneuron,RIC
RIM1,Interneuron,RIM
RIM2,Interneuron,RIM
RIM3,Interneuron,RIM
RIM4,Interneuron,RIM
RIS1,Interneuron,RIS
RIS2,Interneuron,RIS
RIS3,Interneuron,RIS
RMD1,Motor,RMD
RMD2,Motor,RMD
RMD3,Motor,RMD
RMD4,Motor,RMD
RMD5,Motor,RMD
SMB1,Motor,SMB
SMB2,Motor,SMB
SMB3,Motor,SMB
SMB4,Motor,SMB
SMB5,Motor,SMB
SMD1,Motor,SMD
SMD2,Motor,SMD
SMD3,Motor,SMD
SMD4,Motor,SMD
VB1,Motor,VB
VB2,Motor,VB
VB3,Motor,VB
VB4,Motor,VB
VC1,Motor,VC
VC2,Motor,VC
VC3,Motor,VC
VC4,Motor,VC
VC5,Motor,VC
VC6,Motor,VC
VD1,Motor,VD
VD2,Motor,VD
VD3,Motor,VD
VD4,Motor,VD
